Widok,Inwestycja,Deweloper,Liczba Mieszkań,Balkony,Fasady,Mieszkania,Teren,Udogodnienia,Wnętrza,ocenaLOG,ocena_wazona,Longitude,Latitude
#r6812,Grzegórzki Park - Budynek nr 5,INTER-BUD Developer Sp. z o.o.,109,3,2,,2,,1,2.24,244.18,19.96753606070275,50.065123953798796
#r6817,OSIEDLE pod DĘBINĄ W KRZYSZKOWICACH,JENS sp z o.o.,8,1,1,,0,,,0.76,6.11,19.923574,49.88221
#r6849,Okulickiego IX,Activ Investment Sp. z o.o.,50,1,0,1,0,,,0.62,31.01,20.026068850217687,50.09366216079239
#r6850,Wodna,Activ Investment Sp. z o.o.,52,1,1,,0,,,0.76,39.7,19.975732008732738,50.03828990534966
#r6851,Apartamenty Mogilska,Activ Investment Sp. z o.o.,112,1,0,,0,,,0.45,50.72,19.978665086656136,50.067849855855734
#r6852,Okulickiego VIII,Activ Investment Sp. z o.o.,111,0,0,,0,,,0.00,0,20.026001112069256,50.093722919978546
#r6854,Apartamenty Mogilska etap IV,Activ Investment Sp. z o.o.,33,3,0,,0,,,2.00,65.88,19.978535977093642,50.068610682470435
#r6856,Banacha etap II,Activ Investment Sp. z o.o.,76,0,0,,0,,,0.00,0,19.959778856855408,50.10074457179289
#r6857,Wodna 34,Activ Investment Sp. z o.o.,65,2,1,,0,,,1.31,85.08,19.975895020634525,50.03765687878947
#r6858,Banacha II,Activ Investment Sp. z o.o.,115,2,1,,0,,,1.31,150.53,19.96153170656371,50.102508268605085
#r6861,Osiedle Stańczyka,Activ Investment Sp. z o.o.,219,3,1,,0,,,2.07,453.6,19.893366359638517,50.07877102537204
#r6862,Banacha etap III,Activ Investment Sp. z o.o.,76,0,0,,0,,,0.00,0,19.960757298180198,50.10157116001327
#r6865,Wadowicka,Activ Investment Sp. z o.o.,196,2,1,,0,,,1.31,256.56,19.94154213929421,50.03395837763926
#r6866,Konopnicka City Park,Activ Investment Sp. z o.o.,347,0,0,,0,,,0.00,0,19.93765636652093,50.038364142144175
#r6869,Banacha etap I,Activ Investment Sp. z o.o.,87,0,0,,0,,,0.00,0,19.961101509127563,50.102019638432395
#r6868,Apartamenty Mogilska etap III,Activ Investment Sp. z o.o.,116,2,0,,0,,,1.14,132.35,19.978518448618196,50.06863463211889
#r6867,Wodna II,Activ Investment Sp. z o.o.,66,0,1,,0,,1,0.62,40.93,19.975104816652205,50.039990632826225
#r6882,Tetmajera Residence,Platforma Mieszkaniowa,12,2,3,,1,,,2.31,27.71,19.87390304607657,50.08876508902592
#r6887,Silva Park,Platforma Mieszkaniowa,32,0,1,1,0,,,0.62,19.84,19.955046014407902,50.10823733211278
#r6889,Ogrody Elizjum,Platforma Mieszkaniowa,12,2,3,,1,,,2.31,27.71,19.88832238754879,50.10946031377176
#r6890,Villa Residence,Platforma Mieszkaniowa,16,2,2,,1,,,1.76,28.21,19.883299503406253,50.110970335733576
#r6900,Atal Kliny Zacisze III,ATAL S.A.,143,2,0,0,0,1,,0.96,137.81,19.893210400014738,49.99823796109363
#r6906,Bronowice Residence VI,ATAL S.A.,42,2,2,,2,,,2.00,84,19.896669139340613,50.096040450041585
#r6910,Atal Kliny Zacisze II,ATAL S.A.,217,3,0,,0,0,,1.75,380.38,19.89342620936052,49.99852412964872
#r6961,Mieszkaj w mieście - etap Aktorów budynek H.,Henniger Investment S.A.,255,1,1,1,1,2,,1.30,330.33,19.88656024638003,50.08405857093261
#r6960,Mieszkaj w mieście - etap Kompozytorów budynek G.,Henniger Investment S.A.,91,1,3,1,1,1,,1.82,165.91,19.88699443436239,50.08412821249499
#r6962,Mieszkaj w mieście - etap Kompozytorów budynek F.,Henniger Investment S.A.,110,1,4,1,0,1,,2.55,280.01,19.886796252032667,50.08417131415361
#r6974,Casa Feliz etap III,Casa Feliz sp. z o.o.,74,2,0,,0,,,1.14,84.43,19.945718940775613,50.08298093437899
#r6975,Casa Feliz etap II,Casa Feliz sp. z o.o.,112,1,0,,0,,,0.45,50.72,19.94541752522725,50.083052916835214
#r6976,Casa Feliz etap V,Casa Feliz sp. z o.o.,72,1,0,,0,,,0.45,32.6,19.94595446938992,50.08292817589428
#r6977,Casa Feliz etap VII,Casa Feliz sp. z o.o.,147,2,0,,0,,,1.14,167.72,19.945939688819713,50.082880607807404
#r6978,Casa Feliz etap IV,Casa Feliz sp. z o.o.,144,2,0,,1,,,1.31,188.5,19.946060957973028,50.08292046519425
#r6979,Casa Feliz,Casa Feliz sp. z o.o.,164,1,0,,0,,1,0.62,101.7,19.94589004108582,50.08304436336001
#r6980,Casa Feliz etap VI,Casa Feliz sp. z o.o.,148,2,0,,0,,,1.14,168.86,19.945816289612754,50.082914473378125
#r6981,Osiedle Ogrody Żabińca Budynek Roma,Metropolis,29,2,0,,0,,,1.14,33.09,19.9466961,50.0834536
